,tweet_id,tweet_text,verified,followers_count,friends_count,user_created_at,retweet_count
0,1345795691948498944,"Ontario reports 2,964 new COVID-19 cases and 25 more deaths https://t.co/3sV3BLuIlx https://t.co/iHmL9f1ZfE",False,18434,14876,2021-01-03 18:14:31,8
1,1345795674386808832,"This is what worries me about the result of the Rod Phillips, Niki Ashton, Ron Liepert stories about politicians who leave Canada during lockdown, regardless of the why - it will encourage others to break #COVID19 rules or advisories. #cdnpoli #cdnmedia 
 https://t.co/Uccky2Rm3G",False,2901,3139,2021-01-03 18:14:27,59
2,1345795624780886019,@PierrePoilievre Now every tom dick and harry can hide behind the bloody masks. If he is or not! My focus is that Liberals Gotta Go! Covid19 is not the worst thing that happened to Canada! It is the bloody liberals!,False,20,79,2021-01-03 18:14:15,0
3,1345795608641204224,"According to the ministry, the 25 additional COVID-19-related deaths on Saturday bring the provincial death toll to 4,650. https://t.co/duBoLnSi8g",False,18434,14876,2021-01-03 18:14:11,2
4,1345795581025902593,"The Government of Canada is continuing to advise travellers to avoid all non-essential travel outside of Canada. Now is not the time to travel.
Public health measures abroad may not protect you from exposure to #COVID19. 

https://t.co/eDqNmKo5bh https://t.co/2KgBU9ScWl",False,950,1375,2021-01-03 18:14:04,260
5,1345795575594283017,"We need a government that is responsive to the current situation. With such high #s in the GTA, why are schools being opened to some students? This puts students and workers at risk. #Pivot ⁦@regionofpeel⁩ ⁦@ETFOPeel⁩
⁦@PeelSchools⁩  https://t.co/BLCCTDTBIH",False,250,684,2021-01-03 18:14:03,3
6,1345795518618873856,VIDEO: Anti-lockdown #freedom march taking place in downtown #Toronto 🇨🇦 https://t.co/DsAO85sRZl #Liberte #Libertad #Freiheit #vrijheid #COVID19 #COVID1984 #Canada #facemasks #confinement,False,54,196,2021-01-03 18:13:49,1
7,1345795489854177280,"As you probably know by now, UCP MLA’s and UCP staffers vacationed outside of Canada.

Should Premier Kenney tell us if any of them have been inoculated with a #COVID19 vaccine? 

Please vote, comment and retweet.",False,393,684,2021-01-03 18:13:43,2
8,1345795482518499329,N.L. sees active cases drop to single digits as no new cases reported Sunday | CBC News https://t.co/eA4BPm9ikh,False,4,0,2021-01-03 18:13:41,0
9,1345795423202660354,"JAN 2: #CovidVaccine in Ontario🇨🇦
Cumulative vaccinations: 37269 (+4365)
💉delivered: 148350
💉in freezer: 111081 (74.9%)
Data sources: #COVID19 Canada Open Data Working Group https://t.co/8uubSrKQjG &amp; @covid_canada https://t.co/75cKPUUcsz https://t.co/Y37lOgLaPR",False,81,244,2021-01-03 18:13:27,112
10,1345795403606855683,"The Government of Canada is continuing to advise travellers to avoid all non-essential travel outside of Canada. Now is not the time to travel.
Public health measures abroad may not protect you from exposure to #COVID19. 

https://t.co/eDqNmKo5bh https://t.co/2KgBU9ScWl",True,112,47,2021-01-03 18:13:22,260
11,1345795378491305987,VIDEO: Anti-lockdown #freedom march taking place in downtown #Toronto 🇨🇦 https://t.co/DsAO85sRZl #Liberte #Libertad #Freiheit #vrijheid #COVID19 #COVID1984 #Canada #facemasks #confinement,False,20522,19010,2021-01-03 18:13:16,1
12,1345795298673762305,"The Government of Canada is continuing to advise travellers to avoid all non-essential travel outside of Canada. Now is not the time to travel.
Public health measures abroad may not protect you from exposure to #COVID19. 

https://t.co/eDqNmKo5bh https://t.co/2KgBU9ScWl",True,2413,117,2021-01-03 18:12:57,260
13,1345795182067933184,"We need a government that is responsive to the current situation. With such high #s in the GTA, why are schools being opened to some students? This puts students and workers at risk. #Pivot ⁦@regionofpeel⁩ ⁦@ETFOPeel⁩
⁦@PeelSchools⁩  https://t.co/BLCCTDTBIH",False,5103,799,2021-01-03 18:12:29,3
14,1345795141764849665,"@GovGone Not cases.What are the total deaths, all causes? What are the excess deaths and specific causes? And how do deaths compare to previous years, 2017, 18, 19? 
https://t.co/6i4VQogtrS
https://t.co/T28oPUoxEd
https://t.co/yoeUSv4ENZ
https://t.co/mkSBnxSVlg
https://t.co/6K5lxHzz0N",False,83,671,2021-01-03 18:12:20,6
15,1345794744333438977,"As hospitals are overwhelmed in some states, consider referring persons with early #COVID19 to a trial testing fluvoxamine. https://t.co/BPgsTatgDO The trial enrolls those with &lt;7days of symptoms anywhere in the USA. (Canada soon as well).  All is remote, no need to leave home.",False,12867,1695,2021-01-03 18:10:45,23
16,1345794586451574786,"Jan 2

Estimated number of lives lost to vaccine-preventable #COVID19 infections in long-term care over next 28 days

QC: 1,420
ON: 4,143
MB: 507
SK: 709
AB: 224
BC: 286
#Canada: 7,289

This is why every hour of vaccination delay counts.

#TeamVaccine

See thread for methods https://t.co/eDvAunhZUN",False,209,725,2021-01-03 18:10:07,111
17,1345794560522383365,@SalmanSima #Shame on all #iran #terrorists regime #lobbies #NIACouncil @NIACouncil #EuropeanUnion @JoeBiden @KamalaHarris #USA #COVID19 #canada #Europe time to bring down terrorists regime of iran make iranian free.,False,6,105,2021-01-03 18:10:01,0
18,1345794526636552192,Time for Canada to mobilize and get the vax out https://t.co/bSgM0duV5h #COVID19 #COVID19Canada #vaccinations #coronaviruspandemic #coronaviruscanada #cdnpoli,False,3152,4075,2021-01-03 18:09:53,0
19,1345794317600829441,"NEW | N.L. sees active cases drop to single digits as no new cases reported Sunday

https://t.co/49AwuXCuHf

#covid19nfld #cbcnl https://t.co/eR79IdsQ5U",False,36,167,2021-01-03 18:09:03,3
20,1345794111027216386,"Spin: hospitals are over capacity ONLY because of #COVID19

Reality: We were overcapacity before #COVID19  but now it's worse. 

Fact: 🇨🇦 has cut hospital beds for decades and ranks near the bottom of the OECD https://t.co/UG496rSKBU https://t.co/4NGifVBPc9",False,1838,4625,2021-01-03 18:08:14,59
21,1345794071604965376,#pandemic #COVID19 Why doesn't Industry Canada obligate all cellular providers to upload and install COVID-19 tracking software on all celluar phones here in Canada? Hell of a lot less instrusive than a lockdown....,False,9,61,2021-01-03 18:08:04,0
22,1345793895167385600,"ALOT OF THINGS ARE GOING ON LATELY, BUT NO ONE WANTS YOU TO KNOW THE TRUTH. YOU WILL BE EXPOSED AFTER WATCHING THIS VIDEO
https://t.co/59TMLjrB6t

IELTS #ChiefLaycon
#CHEMCI Canada Mendy Buharist WAEC Sancho kepa #snowpose #sundayvibes #COVID19 #LaguCintaKita2 #MrQueen #meijimill",False,1,12,2021-01-03 18:07:22,0
23,1345793809729220608,"u shold provide vaccine to u r citizen, waiting and watch covid is not solution. #canada #UK approved #COVID19 vaccine bcoz they worried about their citizen.
Bring #InternationalStudentsAustralia #bringusbacktoaus before 2021 feb for on campus study @ScottMorrisonMP 
@AlboMP",False,23,439,2021-01-03 18:07:02,15
24,1345793511304650755,it took us about 2 weeks to go from 500K #COVID19 confirmed cases to over 600K here in Canada.,False,38,525,2021-01-03 18:05:51,0
25,1345793471358111749,"Spin: hospitals are over capacity ONLY because of #COVID19

Reality: We were overcapacity before #COVID19  but now it's worse. 

Fact: 🇨🇦 has cut hospital beds for decades and ranks near the bottom of the OECD https://t.co/UG496rSKBU https://t.co/4NGifVBPc9",False,2677,2223,2021-01-03 18:05:41,59
26,1345793419201761281,"It is crucial that Cdns push REALLY HARD to ensure all residents in long-term care &amp; retirement homes are vaccinated by January 15th.

I have a public Twitter list of ppl posting about #COVID19 in LTC in #Canada. Pls tell me should be on it &amp; use this list to amplify LTC news.",False,1444,1043,2021-01-03 18:05:29,2
27,1345793292655587328,"JAN 2: #CovidVaccine in Ontario🇨🇦
Cumulative vaccinations: 37269 (+4365)
💉delivered: 148350
💉in freezer: 111081 (74.9%)
Data sources: #COVID19 Canada Open Data Working Group https://t.co/8uubSrKQjG &amp; @covid_canada https://t.co/75cKPUUcsz https://t.co/Y37lOgLaPR",False,125,1150,2021-01-03 18:04:59,112
28,1345793253203988482,"#Breaking: Ontario is reporting #COVID19 outbreaks in an additional 19 long-term care homes, taking the total up to 207 homes with an outbreak across the province. https://t.co/Sn8fjKGqIh",False,9,316,2021-01-03 18:04:49,24
29,1345793216017268737,"If you think that Canada has had border controls for #COVID19, please disuade yourself of your delusions by reading this thread.

Success in fighting a pandemic hinges on controlling spread. Trudeau's open border policy has exposed Canadians to unnecessary risk.

#Cdnpoli https://t.co/XZ3WzZReqT",False,132,128,2021-01-03 18:04:40,53
30,1345793124598165506,"#pandemic #Covid19 If modelling verified by others, then governments should IMMEDIATELY move towards universal, rapid testing under one (or more) of the scenarios suggested.  Repeated lockdowns unsustainable!!!!

pandemic without damaging lockdowns: study https://t.co/kcOHqyis4k",False,9,61,2021-01-03 18:04:19,0
31,1345792804295901184,"JAN 2: #CovidVaccine in Ontario🇨🇦
Cumulative vaccinations: 37269 (+4365)
💉delivered: 148350
💉in freezer: 111081 (74.9%)
Data sources: #COVID19 Canada Open Data Working Group https://t.co/8uubSrKQjG &amp; @covid_canada https://t.co/75cKPUUcsz https://t.co/Y37lOgLaPR",False,2972,4185,2021-01-03 18:03:02,112
32,1345792785128042497,"@fordnation is unfit to lead! @GeneralHillier is unprepared. And the media....on vacation? 

@CBCNews @nationalpost @globeandmail @AP @CPHO_Canada @JustinTrudeau #COVID19 https://t.co/R11oJJde5M",False,71,365,2021-01-03 18:02:58,0
33,1345792779256033280,"You might be entitled to the #CanadaRecovery Caregiving Benefit if you missed work because of #COVID19 school or program closure for:
👉A child under 12
👉A family member who requires supervised care

https://t.co/PiDvmUodhg https://t.co/uYNmfIR2y4",False,427,425,2021-01-03 18:02:56,5
34,1345792744363462662,"Wanna bet influenza incidents are being transferred to #COVID19 ? Just look at the statistics from mid December &amp; you tell me?

Source: https://t.co/95x69tkkNz https://t.co/3ZIvtjNf4W",False,4537,4613,2021-01-03 18:02:48,24
35,1345792530747678720,"Jan 2

Estimated number of lives lost to vaccine-preventable #COVID19 infections in long-term care over next 28 days

QC: 1,420
ON: 4,143
MB: 507
SK: 709
AB: 224
BC: 286
#Canada: 7,289

This is why every hour of vaccination delay counts.

#TeamVaccine

See thread for methods https://t.co/eDvAunhZUN",False,72,322,2021-01-03 18:01:57,111
36,1345792460744757251,"Ontario reports 2,964 new COVID-19 cases and 25 more deaths
#COVID19Ontario 
https://t.co/w7uQjgWRrp",False,9623,730,2021-01-03 18:01:40,0
37,1345792315458203648,"According to the ministry, the 25 additional COVID-19-related deaths on Saturday bring the provincial death toll to 4,650. https://t.co/duBoLnSi8g",False,233,629,2021-01-03 18:01:06,2
38,1345792267701903361,"Spin: hospitals are over capacity ONLY because of #COVID19

Reality: We were overcapacity before #COVID19  but now it's worse. 

Fact: 🇨🇦 has cut hospital beds for decades and ranks near the bottom of the OECD https://t.co/UG496rSKBU https://t.co/4NGifVBPc9",False,285,1218,2021-01-03 18:00:54,59
39,1345792108620255234,"In Canada, shippers race to move cancer treatments as #COVID19 grounds flights https://t.co/aF939mYyit",False,2,13,2021-01-03 18:00:16,2
40,1345792088391168000,"According to the ministry, the 25 additional COVID-19-related deaths on Saturday bring the provincial death toll to 4,650. https://t.co/duBoLnSi8g",True,592515,916,2021-01-03 18:00:12,2
